seller_id,seller_zip_code_prefix,seller_city,seller_state,rep_lng,rep_lat
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,-47.06133702244195,-22.89384803253408
e0eabded302882513ced4ea3eb0c7059,13023,campinas,SP,-47.06133702244195,-22.89384803253408
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,-43.177703112986904,-22.909572437655488
1d2732ef8321502ee8488e8bed1ab8cd,20031,rio de janeiro,RJ,-43.177703112986904,-22.909572437655488
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,-46.612830839593656,-23.65724198521615
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,-43.231902550437,-22.89524485967227
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,-46.634555491641365,-23.56843915687453
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,-49.30945498395365,-25.456933882855157
77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR,-49.30945498395365,-25.456933882855157
d1a5cc844736958c11b8efab9a2b4c87,80310,curitiba,PR,-49.30945498395365,-25.456933882855157
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,-46.64936937401519,-23.545944543972997
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,-46.75751352696019,-23.579830303024895
f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,-46.73414273203396,-23.484769700217907
a420f60ff1aa9acc80d0e42959f2b313,5138,sao paulo,SP,-46.73414273203396,-23.484769700217907
624f4ece8da4aafb77699233d480f8ef,5138,sao paulo,SP,-46.73414273203396,-23.484769700217907
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,-46.62313404323022,-23.631765715208406
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,-43.96164848633418,-19.960059611364837
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,-46.68808147880211,-23.7639730208048
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,-49.24440387666875,-25.440487711584133
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,-46.577296212716455,-23.467505149821427
d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,-46.496724221497885,-23.54485288651954
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP,-46.42668333499848,-23.446977376078497
bd149ed516d4c5d418d5781f8e18919f,7241,guarulhos,SP,-46.42668333499848,-23.446977376078497
ec2e006556300a79a5a91e4876ab3a56,3445,sao paulo,SP,-46.528726088626264,-23.54876817034105
d1582f4043306e6b91afa6a8a884f898,3445,sao paulo,SP,-46.528726088626264,-23.54876817034105
b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,-46.6183837748097,-23.62173806132692
b87a7ea0c30fad2dd6781b74a0064859,4133,sao paulo,SP,-46.6183837748097,-23.62173806132692
11fb6f6d341adbe19e81733701704635,4133,sao paulo,SP,-46.6183837748097,-23.62173806132692
28a26ebce31d5918b181ede016fd693b,31950,belo horizonte,MG,-43.89948356702756,-19.867541102807987
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG,-43.98022183612361,-19.841600785453995
8759e7aedd644f487315e5860962f162,9251,santo andre,SP,-46.50749026337425,-23.630386001373815
e546117ed9cafbc40239c0c78635c584,4705,sao paulo,SP,-46.69518819682693,-23.621530849176292
32f1bb9dfa65bc7df5c0d9d95a616be4,4705,sao paulo,SP,-46.69518819682693,-23.621530849176292
02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,SP,-46.50092180775807,-23.68151425230396
2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
422be4cc81a457fdb46f47edeb968ae5,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
3d3ccf2b2f8134b10dce9dd446f0e075,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
1dc2de47ee26a0a5b12dc14fd6dc0dea,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
a3e9a2c700480d9bb01fba070ba80a0e,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
0176f73cc1195f367f7b32db1e5b3aa8,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
391fc6631aebcf3004804e51b40bcf1e,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
0336182e1b3e92f029d5354832045fdf,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
640e21a7d01df7614a3b4923e990d40c,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
9d213f303afae4983637247556438ede,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
d673a59aac7a70d8b01e6902bf090a11,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
723cd880edaacdb998898b67c8f9da30,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
951e8cef368f09bb3f3d03c00ca4702c,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
747c1cdcd1737dcfbd1547f6eb6f2cf3,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
9ef932e837d8b7f392c0bfee9d359dc2,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
1dfe5347016252a7884b694d4f10f5c4,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
d2374cbcbb3ca4ab1086534108cc3ab7,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
7d7d2b7a51328016102d4528c411d630,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
5b0cc932433fa5184b5b94bfe6bcc256,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
7ad32824caee82087b3e2e5f33b1bf32,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
53d00c40e32aeb924a84ce72b1af869d,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
02b72cdeb9cfcc429f1af6f4e3f3b737,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
602044f2c16190c2c6e45eb35c2e21cb,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
f7c31656c19db6275a8acadca289f426,14940,ibitinga,SP,-48.82974353343716,-21.75732063771276
